pos	COMBINED_rate	Genetic_Map
10874443	0.584470197661	0
15314370	0.622647907198	2.59500501129
15414240	0.622647907199	2.65718885778
15415008	0.568002722567	2.65766705138
15415850	0.568002722567	2.65814530967
15420909	0.568002722567	2.66101883544
15421079	0.310820467272	2.66111539591
15421408	0.310820467272	2.66121765584
15465175	0.445779599752	2.67482133523
15469123	0.867896626119	2.67658127309
15495412	0.867896626119	2.69939740749
15495664	0.767233274944	2.69961611744
15496413	0.767233274944	2.70019077517
15537462	2.03135607817	2.73168493387
15548490	2.14465218387	2.7540867287
15578467	2.14465218387	2.81837696722
15578800	2.01075607794	2.81909113639
15578803	1.35629073707	2.81909716866
15579407	1.35629073707	2.81991636827
15605243	2.11765704329	2.85495749575
15632561	2.79194919438	2.91280765086
15636846	4.99177365266	2.92477115316
15687120	8.19562395585	3.17572758177
15689220	13.5538634287	3.19293839208
15696767	13.5538634287	3.29522939937
15696814	6.12738721392	3.29586643095
15698894	6.12738721392	3.30861139636
15700328	6.12738721392	3.31739806962
15700340	1.49703178281	3.31747159827
15702142	1.44714304813	3.32016924954
15702579	1.44714304813	3.32080165105
15703482	1.2484265416	3.32210842123
15703889	1.2484265416	3.32261653083
15752329	1.27701860392	3.3830903125
15752330	1.35531773414	3.38309158952
15756969	1.91767169821	3.38937890849
15765230	2.07443306064	3.40522079439
15807196	2.07884565374	3.49227645221
15807238	2.25269518186	3.49236376373
15809088	5.33297068764	3.49653124982
15825356	5.33297068764	3.58328801696
15825409	5.02991003257	3.58357066441
15825410	5.01104390522	3.58357569432
15825635	5.01104390523	3.5847031792
15825678	5.0106001397	3.58491865409
15825923	4.99451772705	3.58614625112
15826994	4.99451772706	3.59149537961
15827373	4.99355156144	3.59338830183
15827669	4.99355156145	3.59486639309
15828219	4.99355156145	3.59761284645
15828269	2.571010428	3.59786252402
15828549	2.571010428	3.59858240694
15897383	2.571010428	3.77555533875
15900308	2.55976414516	3.78307554425
15900310	2.55976414517	3.78308066378
15900664	2.122117171	3.78398682028
15900674	2.122117171	3.78400804145
15901531	2.08408296449	3.78582669587
16367300	2.02912334873	4.75652793416
